,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
132,196,1611.0,2.0,6.0
133,196,787.0,2.0,6.0
134,196,526.0,3.0,9.0
135,196,1458.0,3.0,9.0
136,196,0.0,1.0,3.0
137,196,436.0,3.0,9.0
138,196,943.0,3.0,9.0
139,196,0.0,2.0,6.0
140,196,1066.0,2.0,6.0
141,196,684.0,2.0,6.0
142,196,2494.0,2.0,6.0
143,196,1835.0,3.0,9.0
144,196,2800.0,3.0,9.0
145,196,0.0,1.0,3.0
146,196,820.0,2.0,6.0
147,196,1746.0,3.0,9.0
148,196,1027.0,3.0,9.0
149,196,2798.0,3.0,9.0
150,196,2347.0,3.0,9.0
151,196,0.0,1.0,3.0
152,196,1441.0,4.0,12.0
153,196,1145.0,3.0,9.0
154,196,1425.0,5.0,15.0
155,196,1868.0,4.0,12.0
156,196,1183.0,2.0,6.0
157,196,1299.0,3.0,9.0
158,196,1914.0,4.0,12.0
159,196,0.0,1.0,3.0
160,196,805.0,2.0,6.0
161,196,0.0,1.0,3.0
162,196,1685.0,4.0,12.0
163,196,1558.0,3.0,9.0
164,196,1076.0,2.0,6.0
165,196,1847.0,7.0,21.0
166,196,432.0,3.0,9.0
167,196,775.0,2.0,6.0
168,196,1105.0,2.0,6.0
169,196,1449.0,2.0,6.0
170,196,0.0,1.0,3.0
171,196,2522.0,3.0,9.0
172,196,971.0,3.0,9.0
173,196,989.0,3.0,9.0
174,196,1978.0,3.0,9.0
175,196,409.0,3.0,9.0
176,196,954.0,3.0,9.0
177,196,600.0,3.0,9.0
178,196,0.0,1.0,3.0
179,196,1229.0,3.0,9.0
180,196,0.0,1.0,3.0
181,196,1453.0,4.0,12.0
182,196,0.0,1.0,3.0
183,196,1936.0,9.0,27.0
184,196,907.0,2.0,6.0
185,196,1769.0,2.0,6.0
186,196,1525.0,3.0,9.0
187,196,958.0,2.0,6.0
188,196,3065.0,2.0,6.0
189,196,0.0,2.0,6.0
190,196,0.0,1.0,3.0
191,196,248.0,3.0,9.0
192,196,0.0,1.0,3.0
193,196,0.0,2.0,6.0
194,196,1979.0,3.0,9.0
195,196,619.0,2.0,6.0
196,196,792.0,4.0,12.0
